***************** properties *****************
"rocksdb.allow_mmap_reads"="false "
"rocksdb.level0_slowdown_writes_trigger"="20"
"fieldcount"="10"
"rocksdb.use_direct_reads"="false"
"insertproportion"="0"
"threadcount"="4"
"updateproportion"="0.05"
"readallfields"="true"
"requestdistribution"="uniform"
"rocksdb.whole_key_filtering"="true"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.block_restart_interval"="16"
"scanproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.block_size_deviation"="10"
"readproportion"="0.95"
"dotransactions"="true"
"recordcount"="3000000"
"rocksdb.allow_concurrent_memtable_writes"="true"
"rocksdb.max_bytes_for_level_multiplier"="10"
"workload"="core"
"rocksdb.allow_mmap_writes"="false"
"rocksdb.use_fsync"="false"
"rocksdb.no_block_cache"="false"
"rocksdb.arena_block_size"="0"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.block_size"="4096"
"fieldlength"="100"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.num_levels"="7"
"rocksdb.max_total_wal_size"="0"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.max_background_flushes"="2"
"maxscanlength"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.cache_index_and_filter_blocks"="false"
"operationcount"="10000000"
**********************************************
UPDATE - Takes(s): 250.0, Count: 18174, OPS: 72.7, Avg(us): 2691, Min(us): 17, Max(us): 172210, 99th(us): 54000, 99.9th(us): 105000, 99.99th(us): 135000
READ   - Takes(s): 260.0, Count: 365342, OPS: 1405.2, Avg(us): 2700, Min(us): 4, Max(us): 237353, 99th(us): 55000, 99.9th(us): 100000, 99.99th(us): 155000
UPDATE - Takes(s): 260.0, Count: 19161, OPS: 73.7, Avg(us): 2678, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 105000, 99.99th(us): 135000
READ   - Takes(s): 270.0, Count: 384264, OPS: 1423.2, Avg(us): 2666, Min(us): 4, Max(us): 237353, 99th(us): 55000, 99.9th(us): 100000, 99.99th(us): 155000
UPDATE - Takes(s): 270.0, Count: 20167, OPS: 74.7, Avg(us): 2640, Min(us): 17, Max(us): 172210, 99th(us): 55000, 99.9th(us): 103000, 99.99th(us): 132000
READ   - Takes(s): 280.0, Count: 404413, OPS: 1444.3, Avg(us): 2626, Min(us): 4, Max(us): 237353, 99th(us): 55000, 99.9th(us): 100000, 99.99th(us): 155000
UPDATE - Takes(s): 280.0, Count: 21250, OPS: 75.9, Avg(us): 2612, Min(us): 17, Max(us): 172210, 99th(us): 54000, 99.9th(us): 103000, 99.99th(us): 132000
READ   - Takes(s): 290.0, Count: 426197, OPS: 1469.6, Avg(us): 2580, Min(us): 4, Max(us): 237353, 99th(us): 55000, 99.9th(us): 100000, 99.99th(us): 155000
UPDATE - Takes(s): 290.0, Count: 22372, OPS: 77.1, Avg(us): 2579, Min(us): 17, Max(us): 172210, 99th(us): 54000, 99.9th(us): 99000, 99.99th(us): 132000
READ   - Takes(s): 300.0, Count: 447796, OPS: 1492.6, Avg(us): 2541, Min(us): 4, Max(us): 237353, 99th(us): 54000, 99.9th(us): 99000, 99.99th(us): 155000
UPDATE - Takes(s): 300.0, Count: 23534, OPS: 78.5, Avg(us): 2532, Min(us): 17, Max(us): 172210, 99th(us): 53000, 99.9th(us): 98000, 99.99th(us): 132000
READ   - Takes(s): 310.0, Count: 471407, OPS: 1520.7, Avg(us): 2493, Min(us): 4, Max(us): 237353, 99th(us): 54000, 99.9th(us): 99000, 99.99th(us): 151000
UPDATE - Takes(s): 310.0, Count: 24696, OPS: 79.7, Avg(us): 2513, Min(us): 17, Max(us): 172210, 99th(us): 54000, 99.9th(us): 98000, 99.99th(us): 132000
READ   - Takes(s): 320.0, Count: 495363, OPS: 1548.0, Avg(us): 2448, Min(us): 4, Max(us): 237353, 99th(us): 54000, 99.9th(us): 98000, 99.99th(us): 151000
UPDATE - Takes(s): 320.0, Count: 25934, OPS: 81.0, Avg(us): 2479, Min(us): 17, Max(us): 172210, 99th(us): 53000, 99.9th(us): 98000, 99.99th(us): 132000
READ   - Takes(s): 330.0, Count: 520548, OPS: 1577.4, Avg(us): 2402, Min(us): 4, Max(us): 237353, 99th(us): 53000, 99.9th(us): 98000, 99.99th(us): 151000
UPDATE - Takes(s): 330.0, Count: 27301, OPS: 82.7, Avg(us): 2431, Min(us): 16, Max(us): 172210, 99th(us): 52000, 99.9th(us): 97000, 99.99th(us): 132000
READ   - Takes(s): 340.0, Count: 546001, OPS: 1605.9, Avg(us): 2360, Min(us): 4, Max(us): 237353, 99th(us): 53000, 99.9th(us): 97000, 99.99th(us): 148000
UPDATE - Takes(s): 340.0, Count: 28635, OPS: 84.2, Avg(us): 2385, Min(us): 16, Max(us): 172210, 99th(us): 52000, 99.9th(us): 97000, 99.99th(us): 132000
READ   - Takes(s): 350.0, Count: 571359, OPS: 1632.4, Avg(us): 2320, Min(us): 4, Max(us): 237353, 99th(us): 53000, 99.9th(us): 97000, 99.99th(us): 150000
UPDATE - Takes(s): 350.0, Count: 30009, OPS: 85.7, Avg(us): 2371, Min(us): 13, Max(us): 172210, 99th(us): 52000, 99.9th(us): 97000, 99.99th(us): 135000
READ   - Takes(s): 360.0, Count: 598877, OPS: 1663.5, Avg(us): 2276, Min(us): 4, Max(us): 237353, 99th(us): 52000, 99.9th(us): 97000, 99.99th(us): 149000
UPDATE - Takes(s): 360.0, Count: 31469, OPS: 87.4, Avg(us): 2332, Min(us): 13, Max(us): 172210, 99th(us): 51000, 99.9th(us): 96000, 99.99th(us): 135000
READ   - Takes(s): 370.0, Count: 626385, OPS: 1692.9, Avg(us): 2237, Min(us): 4, Max(us): 237353, 99th(us): 52000, 99.9th(us): 97000, 99.99th(us): 148000
UPDATE - Takes(s): 370.0, Count: 32910, OPS: 88.9, Avg(us): 2293, Min(us): 13, Max(us): 172210, 99th(us): 50000, 99.9th(us): 96000, 99.99th(us): 135000
READ   - Takes(s): 380.0, Count: 656440, OPS: 1727.5, Avg(us): 2193, Min(us): 4, Max(us): 237353, 99th(us): 51000, 99.9th(us): 96000, 99.99th(us): 147000
UPDATE - Takes(s): 380.0, Count: 34461, OPS: 90.7, Avg(us): 2237, Min(us): 13, Max(us): 172210, 99th(us): 50000, 99.9th(us): 94000, 99.99th(us): 135000
READ   - Takes(s): 390.0, Count: 686533, OPS: 1760.3, Avg(us): 2152, Min(us): 4, Max(us): 237353, 99th(us): 51000, 99.9th(us): 96000, 99.99th(us): 146000
UPDATE - Takes(s): 390.0, Count: 36041, OPS: 92.4, Avg(us): 2187, Min(us): 13, Max(us): 172210, 99th(us): 49000, 99.9th(us): 95000, 99.99th(us): 135000
READ   - Takes(s): 400.0, Count: 719672, OPS: 1799.2, Avg(us): 2105, Min(us): 4, Max(us): 237353, 99th(us): 50000, 99.9th(us): 95000, 99.99th(us): 146000
UPDATE - Takes(s): 400.0, Count: 37829, OPS: 94.6, Avg(us): 2141, Min(us): 13, Max(us): 172210, 99th(us): 49000, 99.9th(us): 94000, 99.99th(us): 135000
READ   - Takes(s): 410.0, Count: 755238, OPS: 1842.0, Avg(us): 2056, Min(us): 4, Max(us): 237353, 99th(us): 50000, 99.9th(us): 95000, 99.99th(us): 143000
UPDATE - Takes(s): 410.0, Count: 39671, OPS: 96.8, Avg(us): 2097, Min(us): 13, Max(us): 172210, 99th(us): 49000, 99.9th(us): 93000, 99.99th(us): 135000
READ   - Takes(s): 420.0, Count: 788652, OPS: 1877.7, Avg(us): 2017, Min(us): 4, Max(us): 237353, 99th(us): 49000, 99.9th(us): 95000, 99.99th(us): 142000
UPDATE - Takes(s): 420.0, Count: 41364, OPS: 98.5, Avg(us): 2052, Min(us): 13, Max(us): 172210, 99th(us): 48000, 99.9th(us): 92000, 99.99th(us): 129000
READ   - Takes(s): 430.0, Count: 825853, OPS: 1920.6, Avg(us): 1973, Min(us): 4, Max(us): 237353, 99th(us): 48000, 99.9th(us): 94000, 99.99th(us): 143000
UPDATE - Takes(s): 430.0, Count: 43409, OPS: 101.0, Avg(us): 1989, Min(us): 13, Max(us): 172210, 99th(us): 47000, 99.9th(us): 92000, 99.99th(us): 132000
READ   - Takes(s): 440.0, Count: 865774, OPS: 1967.7, Avg(us): 1926, Min(us): 4, Max(us): 237353, 99th(us): 48000, 99.9th(us): 94000, 99.99th(us): 142000
UPDATE - Takes(s): 440.0, Count: 45504, OPS: 103.4, Avg(us): 1940, Min(us): 13, Max(us): 172210, 99th(us): 47000, 99.9th(us): 91000, 99.99th(us): 132000
READ   - Takes(s): 450.0, Count: 907211, OPS: 2016.0, Avg(us): 1879, Min(us): 4, Max(us): 237353, 99th(us): 47000, 99.9th(us): 93000, 99.99th(us): 143000
UPDATE - Takes(s): 450.0, Count: 47670, OPS: 105.9, Avg(us): 1903, Min(us): 13, Max(us): 172210, 99th(us): 46000, 99.9th(us): 91000, 99.99th(us): 135000
READ   - Takes(s): 460.0, Count: 949506, OPS: 2064.1, Avg(us): 1835, Min(us): 4, Max(us): 237353, 99th(us): 47000, 99.9th(us): 92000, 99.99th(us): 141000
UPDATE - Takes(s): 460.0, Count: 49942, OPS: 108.6, Avg(us): 1862, Min(us): 13, Max(us): 172210, 99th(us): 46000, 99.9th(us): 91000, 99.99th(us): 135000
READ   - Takes(s): 470.0, Count: 997825, OPS: 2123.0, Avg(us): 1784, Min(us): 4, Max(us): 237353, 99th(us): 46000, 99.9th(us): 92000, 99.99th(us): 141000
UPDATE - Takes(s): 470.0, Count: 52433, OPS: 111.6, Avg(us): 1815, Min(us): 13, Max(us): 172210, 99th(us): 45000, 99.9th(us): 91000, 99.99th(us): 132000
READ   - Takes(s): 480.0, Count: 1045466, OPS: 2178.1, Avg(us): 1739, Min(us): 4, Max(us): 312753, 99th(us): 46000, 99.9th(us): 91000, 99.99th(us): 141000
UPDATE - Takes(s): 480.0, Count: 54978, OPS: 114.5, Avg(us): 1767, Min(us): 13, Max(us): 172210, 99th(us): 45000, 99.9th(us): 91000, 99.99th(us): 132000
READ   - Takes(s): 490.0, Count: 1098307, OPS: 2241.4, Avg(us): 1690, Min(us): 4, Max(us): 312753, 99th(us): 45000, 99.9th(us): 91000, 99.99th(us): 140000
UPDATE - Takes(s): 490.0, Count: 57755, OPS: 117.9, Avg(us): 1718, Min(us): 13, Max(us): 172210, 99th(us): 45000, 99.9th(us): 90000, 99.99th(us): 132000
READ   - Takes(s): 500.0, Count: 1151114, OPS: 2302.2, Avg(us): 1645, Min(us): 4, Max(us): 312753, 99th(us): 45000, 99.9th(us): 90000, 99.99th(us): 140000
UPDATE - Takes(s): 500.0, Count: 60567, OPS: 121.1, Avg(us): 1666, Min(us): 13, Max(us): 172210, 99th(us): 44000, 99.9th(us): 89000, 99.99th(us): 129000
READ   - Takes(s): 510.0, Count: 1206597, OPS: 2365.9, Avg(us): 1601, Min(us): 4, Max(us): 312753, 99th(us): 44000, 99.9th(us): 90000, 99.99th(us): 140000
UPDATE - Takes(s): 510.0, Count: 63471, OPS: 124.5, Avg(us): 1617, Min(us): 13, Max(us): 172210, 99th(us): 43000, 99.9th(us): 89000, 99.99th(us): 129000
READ   - Takes(s): 520.0, Count: 1266043, OPS: 2434.7, Avg(us): 1555, Min(us): 4, Max(us): 312753, 99th(us): 44000, 99.9th(us): 89000, 99.99th(us): 139000
UPDATE - Takes(s): 520.0, Count: 66706, OPS: 128.3, Avg(us): 1573, Min(us): 13, Max(us): 172210, 99th(us): 43000, 99.9th(us): 88000, 99.99th(us): 129000
READ   - Takes(s): 530.0, Count: 1328788, OPS: 2507.1, Avg(us): 1510, Min(us): 4, Max(us): 312753, 99th(us): 43000, 99.9th(us): 89000, 99.99th(us): 139000
UPDATE - Takes(s): 530.0, Count: 69976, OPS: 132.0, Avg(us): 1534, Min(us): 13, Max(us): 172210, 99th(us): 42000, 99.9th(us): 88000, 99.99th(us): 129000
READ   - Takes(s): 540.0, Count: 1396323, OPS: 2585.8, Avg(us): 1464, Min(us): 4, Max(us): 312753, 99th(us): 42000, 99.9th(us): 88000, 99.99th(us): 138000
UPDATE - Takes(s): 540.0, Count: 73472, OPS: 136.1, Avg(us): 1484, Min(us): 13, Max(us): 172210, 99th(us): 41000, 99.9th(us): 87000, 99.99th(us): 129000
