***************** properties *****************
"readproportion"="0.5"
"rocksdb.block_size"="4096"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.use_direct_reads"="false"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.block_size_deviation"="10"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.allow_mmap_reads"="false "
"threadcount"="4"
"rocksdb.level0_file_num_compaction_trigger"="4"
"operationcount"="10000000"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_bytes_for_level_multiplier"="10"
"requestdistribution"="uniform"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.use_fsync"="false"
"rocksdb.cache_index_and_filter_blocks"="false"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.num_levels"="7"
"workload"="core"
"rocksdb.no_block_cache"="false"
"insertproportion"="0"
"rocksdb.block_restart_interval"="16"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"maxscanlength"="10"
"rocksdb.allow_mmap_writes"="false"
"recordcount"="3000000"
"scanproportion"="0"
"updateproportion"="0.5"
"rocksdb.arena_block_size"="0"
"dotransactions"="true"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"fieldlength"="100"
"rocksdb.whole_key_filtering"="true"
"rocksdb.allow_concurrent_memtable_writes"="true"
"readallfields"="true"
"rocksdb.max_background_flushes"="2"
"fieldcount"="10"
"rocksdb.dir"="../data"
"rocksdb.max_total_wal_size"="0"
**********************************************
READ   - Takes(s): 269.9, Count: 267209, OPS: 990.0, Avg(us): 1997, Min(us): 4, Max(us): 626175, 99th(us): 42000, 99.9th(us): 212000, 99.99th(us): 522000
UPDATE - Takes(s): 269.9, Count: 267048, OPS: 989.5, Avg(us): 2037, Min(us): 11, Max(us): 725283, 99th(us): 42000, 99.9th(us): 224000, 99.99th(us): 545000
READ   - Takes(s): 279.9, Count: 298824, OPS: 1067.6, Avg(us): 1851, Min(us): 4, Max(us): 626175, 99th(us): 40000, 99.9th(us): 192000, 99.99th(us): 511000
UPDATE - Takes(s): 279.9, Count: 298563, OPS: 1066.7, Avg(us): 1890, Min(us): 11, Max(us): 725283, 99th(us): 39000, 99.9th(us): 210000, 99.99th(us): 535000
READ   - Takes(s): 289.9, Count: 333581, OPS: 1150.6, Avg(us): 1717, Min(us): 4, Max(us): 626175, 99th(us): 38000, 99.9th(us): 181000, 99.99th(us): 496000
UPDATE - Takes(s): 289.9, Count: 333351, OPS: 1150.0, Avg(us): 1751, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 192000, 99.99th(us): 531000
READ   - Takes(s): 299.9, Count: 359964, OPS: 1200.2, Avg(us): 1647, Min(us): 4, Max(us): 626175, 99th(us): 37000, 99.9th(us): 179000, 99.99th(us): 488000
UPDATE - Takes(s): 299.9, Count: 359981, OPS: 1200.4, Avg(us): 1677, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 188000, 99.99th(us): 531000
READ   - Takes(s): 309.9, Count: 368130, OPS: 1187.9, Avg(us): 1661, Min(us): 4, Max(us): 626175, 99th(us): 37000, 99.9th(us): 181000, 99.99th(us): 488000
UPDATE - Takes(s): 309.9, Count: 368207, OPS: 1188.2, Avg(us): 1697, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 191000, 99.99th(us): 531000
READ   - Takes(s): 319.9, Count: 376528, OPS: 1177.0, Avg(us): 1678, Min(us): 4, Max(us): 626175, 99th(us): 37000, 99.9th(us): 184000, 99.99th(us): 493000
UPDATE - Takes(s): 319.9, Count: 376721, OPS: 1177.7, Avg(us): 1708, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 192000, 99.99th(us): 531000
READ   - Takes(s): 329.9, Count: 386391, OPS: 1171.2, Avg(us): 1692, Min(us): 4, Max(us): 626175, 99th(us): 37000, 99.9th(us): 185000, 99.99th(us): 488000
UPDATE - Takes(s): 329.9, Count: 386478, OPS: 1171.6, Avg(us): 1715, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 192000, 99.99th(us): 528000
READ   - Takes(s): 339.9, Count: 390650, OPS: 1149.3, Avg(us): 1720, Min(us): 4, Max(us): 660980, 99th(us): 38000, 99.9th(us): 188000, 99.99th(us): 496000
UPDATE - Takes(s): 339.9, Count: 390610, OPS: 1149.3, Avg(us): 1751, Min(us): 11, Max(us): 725283, 99th(us): 38000, 99.9th(us): 201000, 99.99th(us): 531000
READ   - Takes(s): 349.9, Count: 400461, OPS: 1144.5, Avg(us): 1726, Min(us): 4, Max(us): 660980, 99th(us): 38000, 99.9th(us): 191000, 99.99th(us): 497000
UPDATE - Takes(s): 349.9, Count: 400462, OPS: 1144.6, Avg(us): 1759, Min(us): 11, Max(us): 725283, 99th(us): 38000, 99.9th(us): 206000, 99.99th(us): 531000
READ   - Takes(s): 359.9, Count: 409192, OPS: 1136.9, Avg(us): 1738, Min(us): 4, Max(us): 660980, 99th(us): 38000, 99.9th(us): 192000, 99.99th(us): 511000
UPDATE - Takes(s): 359.9, Count: 409094, OPS: 1136.7, Avg(us): 1773, Min(us): 11, Max(us): 725283, 99th(us): 38000, 99.9th(us): 211000, 99.99th(us): 531000
READ   - Takes(s): 369.9, Count: 430169, OPS: 1162.9, Avg(us): 1699, Min(us): 4, Max(us): 660980, 99th(us): 37000, 99.9th(us): 187000, 99.99th(us): 496000
UPDATE - Takes(s): 369.9, Count: 429773, OPS: 1161.9, Avg(us): 1734, Min(us): 11, Max(us): 725283, 99th(us): 37000, 99.9th(us): 205000, 99.99th(us): 528000
READ   - Takes(s): 379.9, Count: 457229, OPS: 1203.5, Avg(us): 1641, Min(us): 4, Max(us): 660980, 99th(us): 36000, 99.9th(us): 182000, 99.99th(us): 496000
UPDATE - Takes(s): 379.9, Count: 456730, OPS: 1202.3, Avg(us): 1676, Min(us): 11, Max(us): 725283, 99th(us): 36000, 99.9th(us): 195000, 99.99th(us): 522000
READ   - Takes(s): 389.9, Count: 483306, OPS: 1239.5, Avg(us): 1592, Min(us): 4, Max(us): 660980, 99th(us): 36000, 99.9th(us): 179000, 99.99th(us): 488000
UPDATE - Takes(s): 389.9, Count: 482869, OPS: 1238.5, Avg(us): 1629, Min(us): 11, Max(us): 725283, 99th(us): 36000, 99.9th(us): 190000, 99.99th(us): 513000
READ   - Takes(s): 399.9, Count: 515326, OPS: 1288.6, Avg(us): 1532, Min(us): 4, Max(us): 660980, 99th(us): 35000, 99.9th(us): 173000, 99.99th(us): 477000
UPDATE - Takes(s): 399.9, Count: 514450, OPS: 1286.5, Avg(us): 1567, Min(us): 11, Max(us): 725283, 99th(us): 35000, 99.9th(us): 183000, 99.99th(us): 504000
READ   - Takes(s): 409.9, Count: 554510, OPS: 1352.8, Avg(us): 1459, Min(us): 4, Max(us): 660980, 99th(us): 34000, 99.9th(us): 166000, 99.99th(us): 477000
UPDATE - Takes(s): 409.9, Count: 553576, OPS: 1350.6, Avg(us): 1492, Min(us): 11, Max(us): 725283, 99th(us): 33000, 99.9th(us): 177000, 99.99th(us): 499000
READ   - Takes(s): 419.9, Count: 591648, OPS: 1409.0, Avg(us): 1403, Min(us): 4, Max(us): 660980, 99th(us): 33000, 99.9th(us): 160000, 99.99th(us): 474000
UPDATE - Takes(s): 419.9, Count: 590685, OPS: 1406.8, Avg(us): 1430, Min(us): 11, Max(us): 725283, 99th(us): 32000, 99.9th(us): 172000, 99.99th(us): 481000
READ   - Takes(s): 429.9, Count: 638279, OPS: 1484.7, Avg(us): 1332, Min(us): 4, Max(us): 660980, 99th(us): 31000, 99.9th(us): 150000, 99.99th(us): 469000
UPDATE - Takes(s): 429.9, Count: 637800, OPS: 1483.7, Avg(us): 1355, Min(us): 11, Max(us): 725283, 99th(us): 31000, 99.9th(us): 157000, 99.99th(us): 472000
READ   - Takes(s): 439.9, Count: 703639, OPS: 1599.5, Avg(us): 1235, Min(us): 4, Max(us): 660980, 99th(us): 30000, 99.9th(us): 142000, 99.99th(us): 451000
UPDATE - Takes(s): 439.9, Count: 703290, OPS: 1598.8, Avg(us): 1258, Min(us): 11, Max(us): 725283, 99th(us): 30000, 99.9th(us): 144000, 99.99th(us): 463000
READ   - Takes(s): 449.9, Count: 713447, OPS: 1585.8, Avg(us): 1247, Min(us): 4, Max(us): 660980, 99th(us): 30000, 99.9th(us): 147000, 99.99th(us): 467000
UPDATE - Takes(s): 449.9, Count: 713066, OPS: 1585.0, Avg(us): 1266, Min(us): 11, Max(us): 725283, 99th(us): 30000, 99.9th(us): 149000, 99.99th(us): 468000
READ   - Takes(s): 459.9, Count: 716378, OPS: 1557.6, Avg(us): 1272, Min(us): 4, Max(us): 660980, 99th(us): 30000, 99.9th(us): 150000, 99.99th(us): 477000
UPDATE - Takes(s): 459.9, Count: 716015, OPS: 1556.9, Avg(us): 1288, Min(us): 11, Max(us): 725283, 99th(us): 30000, 99.9th(us): 151000, 99.99th(us): 476000
READ   - Takes(s): 469.9, Count: 719271, OPS: 1530.7, Avg(us): 1294, Min(us): 4, Max(us): 734205, 99th(us): 31000, 99.9th(us): 154000, 99.99th(us): 480000
UPDATE - Takes(s): 469.9, Count: 719063, OPS: 1530.3, Avg(us): 1311, Min(us): 11, Max(us): 725283, 99th(us): 30000, 99.9th(us): 161000, 99.99th(us): 481000
READ   - Takes(s): 479.9, Count: 722597, OPS: 1505.7, Avg(us): 1316, Min(us): 4, Max(us): 734205, 99th(us): 31000, 99.9th(us): 159000, 99.99th(us): 483000
UPDATE - Takes(s): 479.9, Count: 722413, OPS: 1505.4, Avg(us): 1333, Min(us): 11, Max(us): 725283, 99th(us): 31000, 99.9th(us): 165000, 99.99th(us): 494000
READ   - Takes(s): 489.9, Count: 726873, OPS: 1483.7, Avg(us): 1338, Min(us): 4, Max(us): 734205, 99th(us): 31000, 99.9th(us): 163000, 99.99th(us): 496000
UPDATE - Takes(s): 489.9, Count: 726561, OPS: 1483.1, Avg(us): 1350, Min(us): 11, Max(us): 725283, 99th(us): 31000, 99.9th(us): 170000, 99.99th(us): 504000
